#,"In the past 12 months, how often have you been exposed to loud sounds, even if they only lasted a short time?",On public transport or on a plane,In traffic,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),At work,While trying to focus (e.g. studying),When trying to sleep,Other,Have you ever noticed any symptoms after being exposed to loud sounds?,"Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,Sensitivity to sound,(Temporary) hearing loss or muffled hearing,Headache,Dizziness,Sleep problems,Fatigue,Other,What are you willing to pay for a *simple *pair of earplugs to help protect your hearing?,What are you willing to pay for earplugs *with* advanced technology to help protect your hearing?,"Before we get started, a quick explanation of the term *sound attenuation* (_geluidsdemping (NL)_) to avoid confusion.

*Sound attenuation* = how much harmful noise is reduced by the hearing protection. 

*Complete* *attenuation* reduces *more* dB (or harmful noise) than *partial* *attenuation* and is therefore *better* for protecting your ear.

If your goal is to buy an earplug that’s *best* for your ear and reduces the *most* noise, then you should choose:","Question 1/3: 
Please select the option you prefer.

*Option 1: *
Wearing comfort: *4 HOURS*
Sound attenuation: *PARTIAL*
Speech understanding: *MODERATE*
Price: *€**{{var:p_80}}*

*Option 2: *
Wearing comfort: *2 HOURS*
Sound attenuation: *COMPLETE*
Speech understanding: *EASY *
Price: *€**{{var:p_110}}*

*Option 3:* 
No purchase","Question 2/3 
Please select the option you prefer.

*Option 1: *
Wearing comfort: *2 HOURS*
Sound attenuation: *COMPLETE*
Appearance: *VISIBLE*
Price: *€**{{var:p_110}}*

*Option 2: *
Wearing comfort: *4 HOURS*
Sound attenuation: *PARTIAL*
Appearance: *INVISIBLE*
Price: *€**{{var:p_80}}*

*Option 3: *
No purchase","Question 3/3
Please select the option you prefer.

*Option 1: *
Sound attenuation: *PARTIAL*
Speech understanding: *EASY*
Appearance:* VISIBLE*
Price: *€**{{var:p_50}}*

*Option 2: *
Sound attenuation: *COMPLETE*
Speech understanding: *MORE EFFORT*
Appearance: *INVISIBLE* 
Price: *€**{{var:p_110}}*

*Option 3:* 
No purchase","How often do you currently wear hearing protection for loud or distracting sounds?

_This includes noise-cancelling earplugs._",Disposable foam earplugs,Reusable  earplugs,Earmuffs,Noise-cancelling earplugs,Custom-made earplugs,Other,On public transport or on a plane,In traffic,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,"At sporting events (e.g. stadium events, motorsports)","When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",At work (noise exposure),While trying to focus (e.g. studying),When trying to sleep,Other,I do not feel it is necessary,I do not like how it looks,I forget to bring it with me,It affects sounds quality,It is inconvenient,It is uncomfortable,It makes communication more difficult,Not applicable — I always wear hearing protection,Other,Appearance,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,Hygiene concerns,I don’t think I need to wear it all the time,Pressure in my ears,Reduced sound quality,Sweat or moisture in my ear(s),Not applicable — I always wear hearing protection,Other,I do not feel it is necessary,I do not like how it looks,I do not own hearing protection,I forget to bring it with me,I forget to use it,It affects sounds quality,It is bothersome,It is uncomfortable,It makes communication more difficult,Other,"Question 1/3
Please select the option you prefer.

*Option 1: *
Wearing comfort: *1 HOUR*
Speech understanding: *EASY*
Appearance: *INVISIBLE*
Price: *€**{{var:p_80}}*

*Option 2: *
Wearing comfort: *4 HOURS*
Speech understanding: *MODERATE*
Appearance:* VISIBLE*
Price: *€**{{var:p_50}}*

*Option 3:* 
No purchase","Question 2/3
Please select the option you prefer.

*Option 1: *
Wearing comfort: *2 HOURS*
Sound attenuation: *PARTIAL*
Speech understanding: *EASY*
Price: *€**{{var:p_110}}*

*Option 2: *
Wearing comfort: *1 HOUR*
Sound attenuation: *COMPLETE*
Speech understanding: *MORE EFFORT*
Price: *€**{{var:p_80}}*

*Option 3:* 
No purchase","Question 3/3
Please select the option you prefer.

*Option 1: *
Wearing comfort: *4 HOURS*
Sound attenuation: *PARTIAL*
Appearance:* VISIBLE*
Price: *€**{{var:p_110}}*

*Option 2: *
Wearing comfort: *1 HOUR*
Sound attenuation: *COMPLETE*
Appearance: *INVISIBLE*
Price: *€**{{var:p_80}}*

*Option 3:* 
No purchase",Current risk of hearing damage,Automatic hearing screening,If my hearing protection reduced noise more effectively,Still being able to understand speech,Better sound quality,More comfort,Easy to clean ('hygiene'),Feature that helps me find my earplug if I lose it,Reminders via phone/app,Peer pressure to wear hearing protection,"Personalized design (e.g. initials, colour)",More appealing design,Other,"Question 1/2
Please select the option you prefer.

*Option 1:*
Sound attenuation: *COMPLETE*
Speech understanding: *MORE EFFORT*
Appearance: *INVISIBLE*
Price: *€**{{var:p_110}}*

*Option 2: *
Sound attenuation: *PARTIAL*
Speech understanding: *MODERATE*
Appearance:* VISIBLE*
Price: *€**{{var:p_50}}*

*Option 3:* 
No purchase","Question 2/2
Please select the option you prefer.

*Option 1: *
Wearing comfort: *2 HOURS*
Speech understanding: *MODERATE*
Appearance:* VISIBLE*
Price: *€**{{var:p_50}}*

*Option 2: *
Wearing comfort: *1 HOUR*
Speech understanding: *MODERATE*
Appearance: *INVISIBLE*
Price: *€**{{var:p_80}}*

*Option 3*:
No purchase",Rank the looks of the hearing protection options at the bottom of this page by dragging them from your *favorite* (1) to your *least* favorite (4).,How comfortable  do you feel wearing hearing protection when others aren’t?,"How interested are you in getting insights into your personal sound exposure (e.g., weekly)",Would it be useful if your hearing protection could automatically check your hearing and advise you to consult an expert?,How important is battery life to you?,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,Check again later,Ignore this notification,Turn off this notification,I don't know,Other,What is your age (in years)?,"If employed or studying: what is your occupation, study and/or part-time job?","Education level, what is your highest obtained diploma?",What is your gender?,"*Thank you* for participating in this questionnaire!

We have *received* and *recorded* your responses. We *appreciate* the time and effort you have taken to participate.

Do you have any comments, suggestions, or additional information you would like to share with us?",p_100,p_110,p_50,p_80,Score,wtp,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
c1nkvhh5p8up07ytffc1nkv3qpk4aq34,Less than once a month,,,,At music concerts or festivals,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,Feeling of pressure or fullness in the ears,,,,,,,,€30,€120,Partial,Option 2,Option 1,Option 2,Mostly,,Reusable  earplugs,Earmuffs,,,,,,,At music concerts or festivals,,In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,,I do not feel it is necessary,,,,It is inconvenient,,,,,,,Difficulty communicating,,,,,,,Not applicable — I always wear hearing protection,,,,,,,,,,,,Option 1,Option 2,Option 2,Current risk of hearing damage,,,,,More comfort,,,Reminders via phone/app,,,,,Option 1,Option 1,"C,A,D,B",Very ,A little,A lot,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,37,"Fulltime, Software Architect",Master’s degree,Male,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-02-09 09:33:43,,2026-02-09 09:50:04,8dafc91e6a,,
ssrre9fas24pn6lm2ssrre9zyt8hjg3r,Weekly,On public transport or on a plane,In traffic,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,At work,While trying to focus (e.g. studying),,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,Sensitivity to sound,,,,,Fatigue,,€30,€120,Complete,Option 1,Option 2,Option 2,Always,,,,Noise-cancelling earplugs,,,On public transport or on a plane,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",At work (noise exposure),While trying to focus (e.g. studying),,,,,I forget to bring it with me,,,,,Not applicable — I always wear hearing protection,,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 3,Option 1,,,,,,,,Feature that helps me find my earplug if I lose it,Reminders via phone/app,,,More appealing design,,Option 1,Option 3,"C,B,A,D",A lot,A lot,Somewhat,Very ,Wear hearing protection more often,,Get a hearing test,Do my own research on hearing loss,,,,,,31,software engineer,High school diploma (VMBO / HAVO / VWO),Non-binary,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-02-09 09:06:08,,2026-02-09 09:16:59,ed6c84719d,,
q2p3io831hcx20ysoptq2p3io8qe3cno,Less than once a month,,,,,,,In nightclubs or bars,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€60,€90,Complete,Option 2,Option 1,Option 1,Rarely,Disposable foam earplugs,Reusable  earplugs,,Noise-cancelling earplugs,,,On public transport or on a plane,,,,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,,,At work (noise exposure),,When trying to sleep,,,,I forget to bring it with me,,,It is uncomfortable,It makes communication more difficult,,,,,Difficulty communicating,It is uncomfortable,,I don’t think I need to wear it all the time,Pressure in my ears,,,,,,,,,,,,,,,Option 3,Option 3,Option 3,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,,More comfort,,,,,,,,Option 3,Option 3,"B,C,A,D",Very ,Somewhat,A lot,A lot,,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,36,Partner at a consultancy firm,Associate degree (HBO / University of Applied Sciences),Male,"Besturing van software via oor, gericht luisteren naar de persoon waar je mee spreekt (en demping v/d rest)",90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-06 14:35:56,,2026-02-06 14:51:26,01ad5ea137,,
my9bul6by13lrysujmy9budyejgskbqy,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,At sporting events (e.g. motorsports or stadium events),,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,,,(Temporary) hearing loss or muffled hearing,Headache,,,,,€30,€90,Complete,Option 3,Option 3,Option 1,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,,,,,,Not applicable — I always wear hearing protection,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,,,,,,,,,,,,,,,,,Option 2,Option 3,Option 2,,Automatic hearing screening,If my hearing protection reduced noise more effectively,,,More comfort,,,,,,,,Option 3,Option 1,"C,D,A,B",Very ,Very ,Very ,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,Check again later,,,,,24,senior medewerker pensioen uitvoering,Master’s degree,Female,technologie is voor mij geen must,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-06 13:54:31,,2026-02-06 14:11:56,fa658e92b5,,
