respondent;task;alt;group;chosen;purchase;price_eur;rel_price;rel_price_lvl;comfort;att;speech;app;comfort_2;comfort_4;att_complete;speech_moderate;speech_more_effort;app_invisible
042lj0r6rgzwy9meq042lj0rwiduqf07;1;1;042lj0r6rgzwy9meq042lj0rwiduqf07_1;1;1;200;0,8;0,8;4;PARTIAL;MODERATE;;0;1;0;1;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;1;2;042lj0r6rgzwy9meq042lj0rwiduqf07_1;0;1;275;1,1;1,1;2;COMPLETE;EASY;;1;0;1;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;1;3;042lj0r6rgzwy9meq042lj0rwiduqf07_1;0;0;0;0;0;;;;;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;2;1;042lj0r6rgzwy9meq042lj0rwiduqf07_2;0;1;275;1,1;1,1;2;COMPLETE;;VISIBLE;1;0;1;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;2;2;042lj0r6rgzwy9meq042lj0rwiduqf07_2;1;1;200;0,8;0,8;4;PARTIAL;;INVISIBLE;0;1;0;0;0;1
042lj0r6rgzwy9meq042lj0rwiduqf07;2;3;042lj0r6rgzwy9meq042lj0rwiduqf07_2;0;0;0;0;0;;;;;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;3;1;042lj0r6rgzwy9meq042lj0rwiduqf07_3;1;1;125;0,5;0,5;;PARTIAL;EASY;VISIBLE;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;3;2;042lj0r6rgzwy9meq042lj0rwiduqf07_3;0;1;275;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
042lj0r6rgzwy9meq042lj0rwiduqf07;3;3;042lj0r6rgzwy9meq042lj0rwiduqf07_3;0;0;0;0;0;;;;;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;4;1;042lj0r6rgzwy9meq042lj0rwiduqf07_4;0;1;200;0,8;0,8;1;;EASY;INVISIBLE;0;0;0;0;0;1
042lj0r6rgzwy9meq042lj0rwiduqf07;4;2;042lj0r6rgzwy9meq042lj0rwiduqf07_4;1;1;125;0,5;0,5;4;;MODERATE;VISIBLE;0;1;0;1;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;4;3;042lj0r6rgzwy9meq042lj0rwiduqf07_4;0;0;0;0;0;;;;;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;5;1;042lj0r6rgzwy9meq042lj0rwiduqf07_5;1;1;275;1,1;1,1;2;PARTIAL;EASY;;1;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;5;2;042lj0r6rgzwy9meq042lj0rwiduqf07_5;0;1;200;0,8;0,8;1;COMPLETE;MORE EFFORT;;0;0;1;0;1;0
042lj0r6rgzwy9meq042lj0rwiduqf07;5;3;042lj0r6rgzwy9meq042lj0rwiduqf07_5;0;0;0;0;0;;;;;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;6;1;042lj0r6rgzwy9meq042lj0rwiduqf07_6;1;1;275;1,1;1,1;4;PARTIAL;;VISIBLE;0;1;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;6;2;042lj0r6rgzwy9meq042lj0rwiduqf07_6;0;1;200;0,8;0,8;1;COMPLETE;;INVISIBLE;0;0;1;0;0;1
042lj0r6rgzwy9meq042lj0rwiduqf07;6;3;042lj0r6rgzwy9meq042lj0rwiduqf07_6;0;0;0;0;0;;;;;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;7;1;042lj0r6rgzwy9meq042lj0rwiduqf07_7;0;1;275;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
042lj0r6rgzwy9meq042lj0rwiduqf07;7;2;042lj0r6rgzwy9meq042lj0rwiduqf07_7;1;1;125;0,5;0,5;;PARTIAL;MODERATE;VISIBLE;0;0;0;1;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;7;3;042lj0r6rgzwy9meq042lj0rwiduqf07_7;0;0;0;0;0;;;;;0;0;0;0;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;8;1;042lj0r6rgzwy9meq042lj0rwiduqf07_8;1;1;125;0,5;0,5;2;;MODERATE;VISIBLE;1;0;0;1;0;0
042lj0r6rgzwy9meq042lj0rwiduqf07;8;2;042lj0r6rgzwy9meq042lj0rwiduqf07_8;0;1;200;0,8;0,8;1;;MODERATE;INVISIBLE;0;0;0;1;0;1
042lj0r6rgzwy9meq042lj0rwiduqf07;8;3;042lj0r6rgzwy9meq042lj0rwiduqf07_8;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;1;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_1;0;1;120;0,8;0,8;4;PARTIAL;MODERATE;;0;1;0;1;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;1;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_1;1;1;165;1,1;1,1;2;COMPLETE;EASY;;1;0;1;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;1;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_1;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;2;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_2;1;1;165;1,1;1,1;2;COMPLETE;;VISIBLE;1;0;1;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;2;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_2;0;1;120;0,8;0,8;4;PARTIAL;;INVISIBLE;0;1;0;0;0;1
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;2;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_2;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;3;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_3;1;1;75;0,5;0,5;;PARTIAL;EASY;VISIBLE;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;3;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_3;0;1;165;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;3;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_3;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;4;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_4;1;1;120;0,8;0,8;1;;EASY;INVISIBLE;0;0;0;0;0;1
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;4;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_4;0;1;75;0,5;0,5;4;;MODERATE;VISIBLE;0;1;0;1;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;4;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_4;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;5;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_5;1;1;165;1,1;1,1;2;PARTIAL;EASY;;1;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;5;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_5;0;1;120;0,8;0,8;1;COMPLETE;MORE EFFORT;;0;0;1;0;1;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;5;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_5;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;6;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_6;0;1;165;1,1;1,1;4;PARTIAL;;VISIBLE;0;1;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;6;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_6;1;1;120;0,8;0,8;1;COMPLETE;;INVISIBLE;0;0;1;0;0;1
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;6;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_6;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;7;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_7;0;1;165;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;7;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_7;1;1;75;0,5;0,5;;PARTIAL;MODERATE;VISIBLE;0;0;0;1;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;7;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_7;0;0;0;0;0;;;;;0;0;0;0;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;8;1;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_8;0;1;75;0,5;0,5;2;;MODERATE;VISIBLE;1;0;0;1;0;0
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;8;2;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_8;1;1;120;0,8;0,8;1;;MODERATE;INVISIBLE;0;0;0;1;0;1
zsx18sh3ejmtpmsdozsx18p4ua81z5xb;8;3;zsx18sh3ejmtpmsdozsx18p4ua81z5xb_8;0;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;1;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_1;0;1;144;0,8;0,8;4;PARTIAL;MODERATE;;0;1;0;1;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;1;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_1;1;1;198;1,1;1,1;2;COMPLETE;EASY;;1;0;1;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;1;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_1;0;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;2;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_2;1;1;198;1,1;1,1;2;COMPLETE;;VISIBLE;1;0;1;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;2;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_2;0;1;144;0,8;0,8;4;PARTIAL;;INVISIBLE;0;1;0;0;0;1
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;2;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_2;0;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;3;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_3;0;1;90;0,5;0,5;;PARTIAL;EASY;VISIBLE;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;3;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_3;1;1;198;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;3;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_3;0;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;4;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_4;0;1;144;0,8;0,8;1;;EASY;INVISIBLE;0;0;0;0;0;1
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;4;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_4;1;1;90;0,5;0,5;4;;MODERATE;VISIBLE;0;1;0;1;0;0
