attribute,level,column,implied_level_utility_rule
comfort,2.0,comfort_2.0,1.0 = -sum(all other comfort levels)
comfort,4.0,comfort_4.0,1.0 = -sum(all other comfort levels)
comfort,1.0,REFERENCE,Utility = -sum(all other comfort coefficients)
att,COMPLETE,att_complete,PARTIAL = -sum(all other att levels)
att,PARTIAL,REFERENCE,Utility = -sum(all other att coefficients)
speech,MODERATE,speech_moderate,EASY = -sum(all other speech levels)
speech,MORE EFFORT,speech_more_effort,EASY = -sum(all other speech levels)
speech,EASY,REFERENCE,Utility = -sum(all other speech coefficients)
app,INVISIBLE,app_invisible,VISIBLE = -sum(all other app levels)
app,VISIBLE,REFERENCE,Utility = -sum(all other app coefficients)
